,ImageId,x,y,xmax,ymax,label
0,0178c2489.jpg,69,66,72,69,Ship
0,0178c2489.jpg,117,85,120,87,Ship
0,017a3a722.jpg,3,42,21,70,Ship
0,017a3a722.jpg,16,9,24,20,Ship
0,017a3a722.jpg,39,122,54,136,Ship
0,017a3a722.jpg,63,132,68,137,Ship
0,017a3a722.jpg,69,138,79,149,Ship
0,017a3a722.jpg,127,156,186,175,Ship
0,017a3a722.jpg,151,18,162,26,Ship
0,017b8be5a.jpg,101,212,110,219,Ship
0,017d242a2.jpg,175,122,177,125,Ship
0,018054283.jpg,150,7,208,24,Ship
0,018054283.jpg,212,141,256,172,Ship
0,01834cb80.jpg,61,114,90,160,Ship
0,0185015c1.jpg,106,180,120,190,Ship
0,01851fccf.jpg,109,114,115,118,Ship
0,0185b1bc5.jpg,169,130,175,133,Ship
0,0185f1bec.jpg,98,46,114,59,Ship
0,0185f1bec.jpg,155,14,184,34,Ship
0,01873dc60.jpg,147,188,148,190,Ship
0,01873dc60.jpg,153,208,154,211,Ship
0,01873dc60.jpg,175,109,177,112,Ship
0,01873dc60.jpg,183,182,187,190,Ship
0,01873dc60.jpg,186,115,188,117,Ship
0,01873dc60.jpg,188,87,191,90,Ship
0,01873dc60.jpg,200,132,209,143,Ship
0,01873dc60.jpg,209,121,211,125,Ship
0,01873dc60.jpg,215,238,218,245,Ship
0,01873dc60.jpg,223,212,226,216,Ship
0,01873dc60.jpg,227,163,230,168,Ship
0,01873dc60.jpg,247,148,249,153,Ship
0,01874d60b.jpg,45,223,55,234,Ship
0,0187b087a.jpg,6,211,11,215,Ship
0,018977b8c.jpg,200,226,203,234,Ship
0,018b5ba5b.jpg,79,90,83,94,Ship
0,018b8ef33.jpg,46,61,56,66,Ship
0,018c4ba23.jpg,66,110,82,122,Ship
0,018c4ba23.jpg,166,222,181,237,Ship
0,018e3e878.jpg,50,7,61,39,Ship
0,018e8bf12.jpg,76,75,86,110,Ship
0,0190215b2.jpg,6,229,15,252,Ship
0,0190215b2.jpg,19,200,25,215,Ship
0,0190215b2.jpg,60,136,73,164,Ship
0,0190215b2.jpg,145,23,158,40,Ship
0,0190215b2.jpg,172,196,180,217,Ship
0,0190215b2.jpg,209,133,213,157,Ship
0,01914baf2.jpg,53,49,61,75,Ship
0,01914baf2.jpg,79,91,83,96,Ship
0,01914baf2.jpg,90,111,97,137,Ship
0,01914baf2.jpg,101,187,107,207,Ship
0,01914baf2.jpg,104,56,110,69,Ship
0,01914baf2.jpg,131,1,138,29,Ship
0,01914baf2.jpg,147,129,155,156,Ship
0,01914baf2.jpg,149,95,154,110,Ship
0,01914baf2.jpg,171,38,176,52,Ship
0,01914baf2.jpg,172,219,178,245,Ship
0,01914baf2.jpg,189,118,195,136,Ship
0,01914baf2.jpg,219,44,227,68,Ship
0,01914baf2.jpg,220,173,229,197,Ship
0,01914baf2.jpg,249,221,256,242,Ship
0,01914baf2.jpg,252,95,256,106,Ship
0,01920b170.jpg,163,59,165,64,Ship
0,01924b710.jpg,221,142,226,145,Ship
0,01924b710.jpg,239,181,244,186,Ship
0,01933be65.jpg,145,223,149,230,Ship
0,0193ae5c1.jpg,149,206,156,216,Ship
0,0193ae5c1.jpg,213,160,218,171,Ship
0,0193c0713.jpg,162,26,172,38,Ship
0,019637cee.jpg,2,80,3,83,Ship
0,019762ab7.jpg,99,62,103,71,Ship
0,019762ab7.jpg,111,211,116,218,Ship
0,0197eac3f.jpg,234,238,252,256,Ship
0,0198534d2.jpg,49,200,54,206,Ship
0,0198534d2.jpg,65,228,75,234,Ship
0,0198713b4.jpg,222,46,239,86,Ship
0,0198728be.jpg,68,60,78,84,Ship
0,0198728be.jpg,77,59,106,107,Ship
0,0198728be.jpg,159,184,174,212,Ship
0,0198728be.jpg,217,101,225,134,Ship
0,0199abc4f.jpg,239,83,246,109,Ship
0,019c45bdf.jpg,67,140,72,145,Ship
0,019c45bdf.jpg,143,158,149,170,Ship
0,019ea06c8.jpg,11,226,19,231,Ship
0,01a1e6260.jpg,27,113,34,122,Ship
0,01a26b0b2.jpg,205,29,212,36,Ship
0,01a3f56a2.jpg,224,227,231,236,Ship
0,01a5e1c3f.jpg,119,11,121,12,Ship
0,01a5e1c3f.jpg,193,38,196,41,Ship
0,01aa2bb58.jpg,15,231,23,234,Ship
0,01aa2bb58.jpg,39,202,43,206,Ship
0,01acf3a1a.jpg,213,159,219,169,Ship
0,01ad35fcb.jpg,21,124,30,138,Ship
0,01ad35fcb.jpg,57,137,72,162,Ship
0,01ad35fcb.jpg,98,238,109,256,Ship
0,01ad35fcb.jpg,141,80,167,128,Ship
0,01ad35fcb.jpg,240,216,249,231,Ship
0,01b030c4b.jpg,161,163,180,183,Ship
0,01b04ce8d.jpg,170,151,185,160,Ship
0,01b267948.jpg,21,85,41,116,Ship
0,01b2b29c7.jpg,145,7,151,11,Ship
0,01b524ff3.jpg,36,16,55,27,Ship
0,01b6d88ec.jpg,209,124,211,126,Ship
0,01b7347a6.jpg,219,143,221,146,Ship
0,01b87d3d6.jpg,38,59,44,65,Ship
0,01b88e0da.jpg,82,65,106,98,Ship
0,01bb07c7d.jpg,199,70,256,160,Ship
0,01bc908db.jpg,163,241,166,254,Ship
0,01bcd7b61.jpg,150,158,153,160,Ship
0,01bd540db.jpg,49,28,53,36,Ship
0,01c35c219.jpg,22,6,58,26,Ship
0,01c559b28.jpg,233,23,236,27,Ship
0,01c559b28.jpg,239,171,242,176,Ship
0,01c5e7262.jpg,18,230,21,234,Ship
0,01c5e7262.jpg,223,166,229,172,Ship
0,01c5e7262.jpg,227,101,229,103,Ship
0,01c6da630.jpg,238,194,240,196,Ship
0,01c78e866.jpg,182,0,208,20,Ship
0,01c78e866.jpg,250,82,256,87,Ship
0,01c8395ef.jpg,121,64,129,70,Ship
0,01c934c85.jpg,193,27,197,33,Ship
0,01c934c85.jpg,198,26,201,30,Ship
0,01c934c85.jpg,206,14,208,18,Ship
0,01c934c85.jpg,212,35,217,37,Ship
0,01c99b29b.jpg,100,6,109,17,Ship
0,01c99f2f5.jpg,234,48,248,78,Ship
0,01ca03158.jpg,218,150,220,151,Ship
0,01caa731a.jpg,107,169,139,256,Ship
0,01cecb9b6.jpg,178,92,184,96,Ship
0,01d175183.jpg,98,161,123,185,Ship
0,01d175183.jpg,120,170,125,175,Ship
0,01d2a4440.jpg,17,130,38,159,Ship
0,01d2a4440.jpg,152,237,158,241,Ship
0,01d2a4440.jpg,160,236,162,246,Ship
0,01d53cfe0.jpg,222,59,230,84,Ship
0,01d53cfe0.jpg,229,170,232,176,Ship
0,01d6c0ada.jpg,99,4,114,58,Ship
0,01d7041bb.jpg,4,76,13,84,Ship
0,01d7041bb.jpg,22,92,47,117,Ship
0,01d8d0ef7.jpg,30,138,33,142,Ship
0,01d8d0ef7.jpg,177,209,181,212,Ship
0,01d8d0ef7.jpg,189,212,192,215,Ship
0,01d8d0ef7.jpg,225,248,231,253,Ship
0,01d98a868.jpg,173,222,203,243,Ship
0,01da5a2de.jpg,70,215,123,246,Ship
0,01de1273b.jpg,145,129,170,165,Ship
0,01de1273b.jpg,239,2,256,56,Ship
0,01e06a4c8.jpg,216,52,225,63,Ship
0,01e0fce2c.jpg,5,131,11,150,Ship
0,01e0fce2c.jpg,40,43,47,59,Ship
0,01e0fce2c.jpg,110,126,130,175,Ship
0,01e0fce2c.jpg,160,25,187,32,Ship
0,01e33f740.jpg,28,123,34,128,Ship
0,01e4019bc.jpg,4,176,38,256,Ship
0,01e44cff9.jpg,249,165,253,179,Ship
0,01e53d284.jpg,51,101,59,114,Ship
0,01e53d284.jpg,124,108,128,112,Ship
0,01e744922.jpg,20,60,24,65,Ship
0,01e78a5d3.jpg,122,105,126,116,Ship
0,01e8037b5.jpg,120,118,124,122,Ship
0,01ecad2c6.jpg,9,22,34,83,Ship
0,01ed38a14.jpg,194,215,196,217,Ship
0,01edf4e56.jpg,147,83,159,87,Ship
0,01edf4e56.jpg,201,131,210,134,Ship
0,01ef10853.jpg,219,57,221,61,Ship
0,01ef10853.jpg,237,184,240,186,Ship
0,01ef10853.jpg,238,186,241,189,Ship
0,01ef10853.jpg,238,189,241,192,Ship
0,01ef10853.jpg,238,191,242,195,Ship
0,01ef10853.jpg,238,194,242,198,Ship
0,01ef10853.jpg,240,197,243,200,Ship
0,01eff2f3e.jpg,193,205,201,226,Ship
0,01f276783.jpg,12,151,74,234,Ship
0,01f286825.jpg,5,72,8,74,Ship
0,01f4debc0.jpg,46,235,56,242,Ship
0,01f4debc0.jpg,66,182,92,194,Ship
0,01f4debc0.jpg,139,62,147,66,Ship
0,01f7d537e.jpg,0,52,13,60,Ship
0,01f7d537e.jpg,44,129,48,131,Ship
0,01f7d537e.jpg,88,149,107,158,Ship
0,01fdbadc8.jpg,55,213,66,237,Ship
0,0200505ee.jpg,203,157,222,172,Ship
0,0200612e9.jpg,188,97,221,189,Ship
0,020128a8d.jpg,98,107,125,126,Ship
0,020128a8d.jpg,140,136,155,145,Ship
0,02021c2f9.jpg,109,218,111,220,Ship
0,02021c2f9.jpg,114,195,117,198,Ship
0,02021c2f9.jpg,129,168,132,171,Ship
0,02021c2f9.jpg,198,127,201,131,Ship
0,02033af48.jpg,106,149,128,213,Ship
0,020364a0c.jpg,65,116,71,120,Ship
0,020364a0c.jpg,125,211,128,212,Ship
0,0209f50e1.jpg,46,122,56,130,Ship
0,020a2bace.jpg,231,152,234,155,Ship
0,020aa1a39.jpg,93,77,180,136,Ship
0,020da2aa6.jpg,13,100,20,112,Ship
0,020eb3654.jpg,192,124,213,192,Ship
